lgE	mu	mu_err	beta	beta_err
17.80_17.90	682.2192567991874	2.326494552965388	49.017967101793	1.8906225293046521
17.90_18.00	687.596249824844	2.3803375621398533	46.46743413618087	1.8348409113332986
18.00_18.10	696.6853551500003	2.569916485997954	46.15562651627161	2.0858236771975367
18.10_18.20	704.0022476700155	2.5556530488594444	46.09313520298976	1.9369513399878033
18.20_18.30	708.4052587965938	2.832968001598769	47.129974635557	2.3788598168550554
18.30_18.45	718.9926190720169	2.706166134583059	44.85485946348283	2.0329254380376622
18.45_18.80	721.102935757069	2.3554241916012515	38.1158452707579	1.911588214467083
18.80_19.80	743.023099289965	2.3576246556516485	28.24587392372214	1.7850996767999738
