Xmax	Counts	CountsSqrt
480.0	0	0.0
492.0	0	0.0
504.0	0	0.0
516.0	0	0.0
528.0	0	0.0
540.0	0	0.0
552.0	0	0.0
564.0	0	0.0
576.0	1	1.0
588.0	0	0.0
600.0	0	0.0
612.0	1	1.0
624.0	1	1.0
636.0	3	1.7320508075688772
648.0	5	2.23606797749979
660.0	15	3.872983346207417
672.0	26	5.0990195135927845
684.0	23	4.795831523312719
696.0	36	6.0
708.0	40	6.324555320336759
720.0	24	4.898979485566356
732.0	26	5.0990195135927845
744.0	28	5.291502622129181
756.0	26	5.0990195135927845
768.0	11	3.3166247903554
780.0	11	3.3166247903554
792.0	9	3.0
804.0	12	3.4641016151377544
816.0	14	3.7416573867739413
828.0	8	2.8284271247461903
840.0	11	3.3166247903554
852.0	5	2.23606797749979
864.0	4	2.0
876.0	0	0.0
888.0	3	1.7320508075688772
900.0	1	1.0
912.0	1	1.0
924.0	1	1.0
936.0	0	0.0
948.0	1	1.0
960.0	1	1.0
972.0	1	1.0
984.0	0	0.0
996.0	0	0.0
1008.0	1	1.0
1020.0	0	0.0
1032.0	0	0.0
1044.0	0	0.0
1056.0	0	0.0
1068.0	0	0.0
