Xmax	Counts	CountsSqrt
480.0	0	0.0
492.0	0	0.0
504.0	1	1.0
516.0	0	0.0
528.0	0	0.0
540.0	0	0.0
552.0	0	0.0
564.0	1	1.0
576.0	2	1.4142135623730951
588.0	5	2.23606797749979
600.0	4	2.0
612.0	13	3.605551275463989
624.0	13	3.605551275463989
636.0	19	4.358898943540674
648.0	45	6.708203932499369
660.0	40	6.324555320336759
672.0	46	6.782329983125268
684.0	54	7.3484692283495345
696.0	36	6.0
708.0	39	6.244997998398398
720.0	28	5.291502622129181
732.0	32	5.656854249492381
744.0	27	5.196152422706632
756.0	31	5.5677643628300215
768.0	14	3.7416573867739413
780.0	18	4.242640687119285
792.0	15	3.872983346207417
804.0	9	3.0
816.0	10	3.1622776601683795
828.0	5	2.23606797749979
840.0	6	2.449489742783178
852.0	4	2.0
864.0	4	2.0
876.0	3	1.7320508075688772
888.0	2	1.4142135623730951
900.0	1	1.0
912.0	0	0.0
924.0	0	0.0
936.0	1	1.0
948.0	0	0.0
960.0	0	0.0
972.0	1	1.0
984.0	0	0.0
996.0	0	0.0
1008.0	0	0.0
1020.0	0	0.0
1032.0	0	0.0
1044.0	0	0.0
1056.0	0	0.0
1068.0	0	0.0
