Xmax	Counts	CountsSqrt
480.0	0	0.0
492.0	0	0.0
504.0	0	0.0
516.0	0	0.0
528.0	0	0.0
540.0	1	1.0
552.0	0	0.0
564.0	0	0.0
576.0	0	0.0
588.0	0	0.0
600.0	0	0.0
612.0	1	1.0
624.0	1	1.0
636.0	3	1.7320508075688772
648.0	14	3.7416573867739413
660.0	13	3.605551275463989
672.0	28	5.291502622129181
684.0	36	6.0
696.0	31	5.5677643628300215
708.0	32	5.656854249492381
720.0	26	5.0990195135927845
732.0	39	6.244997998398398
744.0	35	5.916079783099616
756.0	27	5.196152422706632
768.0	16	4.0
780.0	18	4.242640687119285
792.0	16	4.0
804.0	9	3.0
816.0	8	2.8284271247461903
828.0	5	2.23606797749979
840.0	5	2.23606797749979
852.0	2	1.4142135623730951
864.0	3	1.7320508075688772
876.0	1	1.0
888.0	4	2.0
900.0	1	1.0
912.0	2	1.4142135623730951
924.0	1	1.0
936.0	0	0.0
948.0	0	0.0
960.0	0	0.0
972.0	0	0.0
984.0	1	1.0
996.0	0	0.0
1008.0	0	0.0
1020.0	0	0.0
1032.0	1	1.0
1044.0	0	0.0
1056.0	0	0.0
1068.0	0	0.0
