Xmax	Counts	CountsSqrt
480.0	0	0.0
492.0	0	0.0
504.0	0	0.0
516.0	0	0.0
528.0	0	0.0
540.0	1	1.0
552.0	0	0.0
564.0	1	1.0
576.0	1	1.0
588.0	1	1.0
600.0	2	1.4142135623730951
612.0	6	2.449489742783178
624.0	7	2.6457513110645907
636.0	13	3.605551275463989
648.0	29	5.385164807134504
660.0	42	6.48074069840786
672.0	46	6.782329983125268
684.0	47	6.855654600401044
696.0	43	6.557438524302
708.0	38	6.164414002968976
720.0	29	5.385164807134504
732.0	42	6.48074069840786
744.0	21	4.58257569495584
756.0	26	5.0990195135927845
768.0	6	2.449489742783178
780.0	19	4.358898943540674
792.0	11	3.3166247903554
804.0	10	3.1622776601683795
816.0	8	2.8284271247461903
828.0	10	3.1622776601683795
840.0	2	1.4142135623730951
852.0	5	2.23606797749979
864.0	2	1.4142135623730951
876.0	3	1.7320508075688772
888.0	1	1.0
900.0	0	0.0
912.0	0	0.0
924.0	0	0.0
936.0	0	0.0
948.0	1	1.0
960.0	0	0.0
972.0	0	0.0
984.0	0	0.0
996.0	0	0.0
1008.0	0	0.0
1020.0	0	0.0
1032.0	0	0.0
1044.0	0	0.0
1056.0	0	0.0
1068.0	0	0.0
