Xmax	Counts	CountsSqrt
480.0	0	0.0
492.0	0	0.0
504.0	0	0.0
516.0	0	0.0
528.0	0	0.0
540.0	0	0.0
552.0	0	0.0
564.0	0	0.0
576.0	0	0.0
588.0	0	0.0
600.0	0	0.0
612.0	0	0.0
624.0	2	1.4142135623730951
636.0	0	0.0
648.0	3	1.7320508075688772
660.0	4	2.0
672.0	12	3.4641016151377544
684.0	10	3.1622776601683795
696.0	17	4.123105625617661
708.0	27	5.196152422706632
720.0	27	5.196152422706632
732.0	17	4.123105625617661
744.0	25	5.0
756.0	18	4.242640687119285
768.0	16	4.0
780.0	15	3.872983346207417
792.0	5	2.23606797749979
804.0	8	2.8284271247461903
816.0	1	1.0
828.0	6	2.449489742783178
840.0	4	2.0
852.0	2	1.4142135623730951
864.0	1	1.0
876.0	1	1.0
888.0	3	1.7320508075688772
900.0	0	0.0
912.0	2	1.4142135623730951
924.0	0	0.0
936.0	1	1.0
948.0	1	1.0
960.0	0	0.0
972.0	1	1.0
984.0	0	0.0
996.0	0	0.0
1008.0	0	0.0
1020.0	0	0.0
1032.0	0	0.0
1044.0	0	0.0
1056.0	0	0.0
1068.0	0	0.0
