Xmax	Counts	CountsSqrt
480.0	0	0.0
492.0	0	0.0
504.0	0	0.0
516.0	0	0.0
528.0	0	0.0
540.0	0	0.0
552.0	0	0.0
564.0	0	0.0
576.0	0	0.0
588.0	1	1.0
600.0	0	0.0
612.0	2	1.4142135623730951
624.0	4	2.0
636.0	13	3.605551275463989
648.0	15	3.872983346207417
660.0	32	5.656854249492381
672.0	33	5.744562646538029
684.0	37	6.082762530298219
696.0	38	6.164414002968976
708.0	32	5.656854249492381
720.0	27	5.196152422706632
732.0	38	6.164414002968976
744.0	27	5.196152422706632
756.0	28	5.291502622129181
768.0	19	4.358898943540674
780.0	18	4.242640687119285
792.0	10	3.1622776601683795
804.0	8	2.8284271247461903
816.0	7	2.6457513110645907
828.0	4	2.0
840.0	8	2.8284271247461903
852.0	3	1.7320508075688772
864.0	2	1.4142135623730951
876.0	2	1.4142135623730951
888.0	0	0.0
900.0	2	1.4142135623730951
912.0	1	1.0
924.0	2	1.4142135623730951
936.0	0	0.0
948.0	0	0.0
960.0	0	0.0
972.0	0	0.0
984.0	0	0.0
996.0	0	0.0
1008.0	0	0.0
1020.0	0	0.0
1032.0	0	0.0
1044.0	0	0.0
1056.0	0	0.0
1068.0	0	0.0
